,post_id,text,comments,likes
0,1793715354093638,This one's for all the tall girls out there. #TallGirl is coming to Netflix this Friday.,6127,57085
1,1295841017214410,Use promo code THE_HOFF_10 and save 10% on your order of the Grabflix2000.,2543,23340
2,1511706445565002,What we know is a drop. What we don't know is an ocean. Find answers: https://www.dark.netflix.io/en,1922,27287
3,1219068104891702,Relationships in DARK vs everywhere else...,1431,28068
4,1807757316188063,"There is no justice in politics. Season 2 of The Crown, now streaming.",1001,24602
5,1193660504099129,"DARK, December 1st.",1360,21560
6,319771388495803,There. We said it.,652,15876
7,1156450041153509,"A new empire rises. All episodes of #Narcos Season 3, now streaming.",726,15828
8,1199801466791983,"An orc, an elf, and a nuclear bomb that grants wishes. Will Smith is having a nightmare of a day. Bright, a new Netflix original film, arrives December 22nd.",889,19824
9,1135275496604297,The rise of a new empire. #Narcos season 3 arrives on September 1st.,617,12605
10,1117682848363562,Some doors can't be closed. Stranger Things Season 2 arrives on October 27th.,1638,19799
11,1111052722359908,"Justice is coming. Death Note, a Netflix Original Film based on the international phenomenon, coming August 25th.",925,11774
12,1107415149390332,"There are sensates within these walls, too. #WeAreTheGlobalCluster",275,7217
13,1106203026178211,"It's finally time to meat OKJA. A Netflix Original Film, now streaming.",284,9982
14,1104923839639463,"Every time you hear that voice, you know what to do. Netflix Original Film ""To The Bone"" premieres July 14th.",370,10932
15,1100924146706099,"Made it so. Episodes 1 & 2 of Star Trek: Discovery available 25th of September, voyages continue weekly.",123,5450
16,1100107796787734,"""Will make you jump for joy... and burst into tears."" OKJA, a Netflix original film starring Tilda Swinton and Jake Gyllenhaal, arrives June 28th.",128,6172
17,1076741425791038,"Meet OKJA, a girl's best friend. A Netflix original film starring Tilda Swinton and Jake Gyllenhaal. June 28th.",252,7639
18,1065391430259371,Their story isn't over. Season 2 of #13ReasonsWhy is coming.,758,5747
19,1064323733699474,Stronger. Together. 10 new episodes of #Sense8 are now streaming.,225,4940
20,1052435598221621,Delighted we stand. Season 3 of #UnbreakableKimmySchmidt hits Netflix May 19th.,92,3273
21,1050957185036129,"""We're all figuring it out together."" The stars of #13ReasonsWhy share 13 tips for getting through school.",138,4726
22,1044312282367286,S’all about to go down for Jimmy and Gene. The first brand new episode of #BetterCallSaul is now streaming.,45,2272
24,1043638235768024,"We are all worth fighting for. Season two of #Sense8, coming May 5th.",68,2509
25,1043346005797247,Set yourself free 💥 #TheGetDown Part II is now streaming on Netflix!,26,2053
26,1038760796255768,Looking to download your favourite movies and shows? This is 10/10 if you're a Windows 10 user.,45,1478
27,1038064402992074,"Yes, Mum, we're still watching...Netflix. #13ReasonsWhy",38,1982
29,1034849629980218,Press play to hear Hannah Baker's story. #13ReasonsWhy is now streaming,64,1917
30,1031687993629715,"Bad to the bone. Season 3 of #BetterCallSaul starts April 11th, with new episodes weekly.",298,2175
31,1026861550779026,Clear your mind. Embrace your power. Marvel's Iron Fist is now streaming.,60,2074
32,1021013524697162,"We hope you're happy. Because you won't be, ever again. A Series of Unfortunate Events will return for a second season, sadly.",106,1193
33,1019671728164675,"Roses are red,
Violets are blue,
Season 2 of #LOVE is now streaming,
And we've really lost control of this poem.",30,1567
34,1014556748676173,Meet Colleen Wing. #IronFist,92,3380
35,1009666845831830,"MINDHUNTER.
A Netflix original series.
October 2017.",46,1744
